Australia;Canada;France;Italy;Japan;Norway;UnitedKingdom;UnitedStates
11.38980823;11.55683947;11.9785445;NA;NA;NA;11.8241385;13.87768692
11.40818698;11.55783908;11.99337435;NA;NA;NA;11.84640752;13.87949424
11.40816477;11.56670554;12.00579076;NA;NA;NA;11.85453449;13.88836596
11.41293937;11.56921128;12.01817557;NA;NA;NA;11.86101567;13.87768692
11.42458593;11.56345697;12.03034927;NA;NA;NA;11.8493977;13.90489412
11.42768343;11.59347266;12.04131592;NA;NA;NA;11.86281444;13.91054797
11.45972509;11.62088036;12.05676024;NA;NA;NA;11.87787409;13.91849575
11.45665137;11.63282404;12.06450908;NA;NA;NA;11.87897731;13.92128849
11.44455026;11.62813853;12.07196966;NA;NA;NA;11.87891489;13.93901055
11.46693388;11.65660148;12.08886444;NA;NA;NA;11.90387236;13.96244239
11.46113731;11.65685047;12.10204458;NA;NA;NA;11.906291;13.97197998
11.4718847;11.68185567;12.11822455;NA;NA;NA;11.92341791;13.98830773
11.49763922;11.70881292;12.13768673;NA;NA;NA;11.97414059;14.01358242
11.50039731;11.71904086;12.15198598;NA;NA;NA;11.9781615;14.02508243
11.50869654;11.72248314;12.16597955;NA;NA;NA;11.97017941;14.01973629
11.53526409;11.74282018;12.17957465;NA;NA;NA;11.96843075;14.02922984
11.53588976;11.75260553;12.19904803;NA;NA;NA;11.94346035;14.02040867
11.51028197;11.76056844;12.2057726;NA;NA;NA;11.96222243;14.02297178
11.52681851;11.76070894;12.21493327;NA;NA;NA;11.97219039;14.01302856
11.52469592;11.76452819;12.19683006;NA;NA;NA;11.95998667;14.00908111
11.52853303;11.76273626;12.19075594;NA;NA;NA;11.96262434;13.99685247
11.55989493;11.77039701;12.18790867;NA;NA;NA;11.94651145;14.00445596
11.55028868;11.78457914;12.18831592;NA;NA;NA;11.94492214;14.02116201
11.53361985;11.79272152;12.20692228;NA;NA;NA;11.95898854;14.03414395
11.57870384;11.81057891;12.21478459;NA;NA;NA;11.97524338;14.05663154
11.58095788;11.83099912;12.2314967;NA;NA;NA;11.9673712;14.06410741
11.58959017;11.83522995;12.24245279;NA;NA;NA;11.97690473;14.06900871
11.59611706;11.83642825;12.24865309;NA;NA;NA;11.99752826;14.07623887
11.58998835;11.85261217;12.26179113;NA;NA;NA;11.99909768;14.08778707
11.60554111;11.85708947;12.26495457;NA;NA;NA;11.99433258;14.1074523
